"assignment_status","priority_band","feature","route","page","page_file","visual_density_priority","visual_density_risk_score","official_density_score","body_grade","archetype","guardrail","root_causes","recommendation","next_action","source_files"
"monitor_when_touched","P2-A next-batch candidate","earn","AppRoutePaths.earnProofOfReserves","StakingProofOfReservesPage","flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart","P2_MEDIUM_DENSITY_REVIEW","39","1","A","detail","financial_safety_copy_preserve","very_high_tokenized_fixed_height_pressure;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_03.dart"
"monitor_when_touched","P2-A next-batch candidate","p2p","AppRoutePaths.p2pDashboard","P2PDashboardPage","flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page.dart","P2_MEDIUM_DENSITY_REVIEW","39","0","A","detail","financial_safety_copy_preserve","spacer_inside_cards;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page_part_01.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page_part_02.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page_part_03.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_dashboard_page_part_04.dart"
"monitor_when_touched","P2-A next-batch candidate","referral","AppRoutePaths.referralRewards","ReferralRewardsPage","flutter_app/lib/features/referral/presentation/pages/referral_rewards_page.dart","P2_MEDIUM_DENSITY_REVIEW","39","1","A","detail","standard_ui_accessibility_preserve","very_high_tokenized_fixed_height_pressure;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/referral/presentation/pages/referral_rewards_page.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_01.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_02.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_03.dart"
"monitor_when_touched","P2-A next-batch candidate","earn","AppRoutePaths.earnRegulatoryFramework","StakingRegulatoryFrameworkPage","flutter_app/lib/features/earn/presentation/pages/staking_regulatory_framework_page.dart","P2_MEDIUM_DENSITY_REVIEW","38","0","A","detail","financial_safety_copy_preserve","very_high_tokenized_fixed_height_pressure;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/earn/presentation/pages/staking_regulatory_framework_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_regulatory_framework_hero_licenses.dart;flutter_app/lib/features/earn/presentation/widgets/staking_regulatory_framework_protection_complaints.dart;flutter_app/lib/features/earn/presentation/widgets/staking_regulatory_framework_sheet_common.dart"
"monitor_when_touched","P2-A next-batch candidate","launchpad","AppRoutePaths.launchpadGasTracker","LaunchpadGasTrackerPage","flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart","P2_MEDIUM_DENSITY_REVIEW","38","7","A","detail","financial_safety_copy_preserve","tokenized_fixed_height_pressure;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_03.dart"
"monitor_when_touched","P2-A next-batch candidate","trade","AppRoutePaths.tradeBotPortfolioDashboard","BotPortfolioDashboardPage","flutter_app/lib/features/trade/presentation/pages/bot_portfolio_dashboard_page.dart","P2_MEDIUM_DENSITY_REVIEW","38","0","A","detail","financial_safety_copy_preserve","very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/trade/presentation/pages/bot_portfolio_dashboard_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_portfolio_dashboard_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_portfolio_dashboard_page_sections.dart"
"monitor_when_touched","P2-A next-batch candidate","arena","AppRoutePaths.arenaStudio","ArenaStudioPage","flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart","P2_MEDIUM_DENSITY_REVIEW","37","1","A","detail","open_arena_points_boundary_preserve","tokenized_fixed_height_pressure;spacer_inside_cards;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart;flutter_app/lib/features/arena/presentation/widgets/arena_studio_fee_banner.dart;flutter_app/lib/features/arena/presentation/widgets/arena_studio_footer.dart;flutter_app/lib/features/arena/presentation/widgets/arena_studio_stepper.dart;flutter_app/lib/features/arena/presentation/widgets/arena_studio_steps.dart"
"monitor_when_touched","P2-A next-batch candidate","arena","AppRoutePaths.arenaStudioPresets","ArenaUniversalPresetLibraryPage","flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart","P2_MEDIUM_DENSITY_REVIEW","37","2","A","detail","open_arena_points_boundary_preserve","tokenized_fixed_height_pressure;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart;flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_01.dart;flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_02.dart;flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_03.dart"
"monitor_when_touched","P2-A next-batch candidate","markets","AppRoutePaths.marketsMovers","MarketMoversPage","flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart","P2_MEDIUM_DENSITY_REVIEW","37","1","A","detail","standard_ui_accessibility_preserve","tokenized_fixed_height_pressure;spacer_inside_cards;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_filters.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_results.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_row_common.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_sparkline.dart"
"monitor_when_touched","P2-A next-batch candidate","profile","AppRoutePaths.profile","ProfilePage","flutter_app/lib/features/profile/presentation/pages/profile_page.dart","P2_MEDIUM_DENSITY_REVIEW","37","14","A","rootModule","standard_ui_accessibility_preserve","vertical_gap_accumulation;bottom_nav_inset_pressure;root_top_chrome_first_viewport_cost;shared_component_compliant_but_sparse","Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.","Prioritize in the next proactive density batch; compact the dominant root cause with shared primitives/tokens, verify 360x800, run focused feature tests, and preserve guardrails.","flutter_app/lib/features/profile/presentation/pages/profile_page.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_arena_stats.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_hero.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_menu_actions.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_vip_prediction.dart"
