order,batch_id,module,batch_title,sc_count,sc_ids,page_files,status
0,RD-V2-K00,trade_core,Shared hero/scaffold kernel (fixes fan out to all 5 sibling modules automatically),0,n/a,lib/features/trade_core/presentation/widgets/vit_trade_hub_hero.dart;lib/features/trade_core/presentation/widgets/vit_trade_detail_hero.dart;lib/features/trade_core/presentation/widgets/vit_trade_analytics_hero.dart;lib/features/trade_core/presentation/widgets/vit_trade_compliance_hero.dart;lib/features/trade_core/presentation/widgets/trade_module_layout.dart;lib/shared/widgets/vit_trade_instrument_hero.dart;lib/features/trade/presentation/widgets/hub/vit_trade_simple_hero.dart;lib/features/trade/presentation/widgets/hub/vit_trade_simple_order_form.dart,done
1,RD-V2-T01,trade,Core spot/margin/futures order flow,5,SC-048;SC-085;SC-090;SC-058;SC-057,lib/features/trade/presentation/pages/hub/trade_page.dart;lib/features/trade/presentation/pages/margin/margin_trading_page.dart;lib/features/trade/presentation/pages/margin/margin_trading_hub_page.dart;lib/features/trade/presentation/pages/futures/leverage_page.dart;lib/features/trade/presentation/pages/futures/futures_page.dart,done
2,RD-V2-T02,trade,Position/history/settings/convert,6,SC-053;SC-050;SC-051;SC-054;SC-052;SC-056,lib/features/trade/presentation/pages/hub/position_dashboard_page.dart;lib/features/trade/presentation/pages/hub/orders_history_page.dart;lib/features/trade/presentation/pages/hub/order_receipt_page.dart;lib/features/trade/presentation/pages/hub/trade_history_export_page.dart;lib/features/trade/presentation/pages/hub/trade_settings_page.dart;lib/features/trade/presentation/pages/convert/convert_page.dart,done
3,RD-V2-TT01,trade_terminal,Advanced tools workspace,6,SC-055;SC-092;SC-062;SC-088;SC-061;SC-060,lib/features/trade_terminal/presentation/pages/tools/advanced_chart_page.dart;lib/features/trade_terminal/presentation/pages/tools/advanced_analytics_page.dart;lib/features/trade_terminal/presentation/pages/tools/advanced_tools_demo_page.dart;lib/features/trade_terminal/presentation/pages/tools/advanced_trading_demo_page.dart;lib/features/trade_terminal/presentation/pages/tools/execution_quality_demo_page.dart;lib/features/trade_terminal/presentation/pages/tools/risk_management_demo_page.dart,done
4,RD-V2-TB01,trade_bots,Bots hub + core ops,5,SC-059;SC-121;SC-122;SC-119;SC-120,lib/features/trade_bots/presentation/pages/hub/trading_bots_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_emergency_stop_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_security_settings_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_suitability_assessment_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_risk_dashboard_page.dart,done
5,RD-V2-TB02,trade_bots,Backtest + performance analytics cluster,8,SC-125;SC-127;SC-126;SC-129;SC-130;SC-123;SC-124;SC-128,lib/features/trade_bots/presentation/pages/backtest/bot_backtesting_page.dart;lib/features/trade_bots/presentation/pages/backtest/bot_optimization_page.dart;lib/features/trade_bots/presentation/pages/backtest/bot_strategy_compare_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_drawdown_analyzer_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_equity_curve_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_history_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_performance_analytics_page.dart;lib/features/trade_bots/presentation/pages/dashboard/bot_portfolio_dashboard_page.dart,done
6,RD-V2-TB03,trade_bots,Compliance + reference content,6,SC-118;SC-117;SC-133;SC-134;SC-132;SC-131,lib/features/trade_bots/presentation/pages/settings/bot_risk_disclosure_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_terms_of_service_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_tax_reporting_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_api_documentation_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_faq_page.dart;lib/features/trade_bots/presentation/pages/settings/bot_guide_page.dart,done
7,RD-V2-TC01,trade_copy,Hub/discovery/profile,5,SC-063;SC-066;SC-079;SC-070;SC-087,lib/features/trade_copy/presentation/pages/hub/copy_trading_page.dart;lib/features/trade_copy/presentation/pages/hub/active_copies_page.dart;lib/features/trade_copy/presentation/pages/provider/provider_leaderboard_page.dart;lib/features/trade_copy/presentation/pages/provider/copy_provider_detail_page.dart;lib/features/trade_copy/presentation/pages/provider/trader_profile_page.dart,done
8,RD-V2-TC02,trade_copy,Flow/configuration/settings,6,SC-072;SC-073;SC-071;SC-067;SC-068;SC-069,lib/features/trade_copy/presentation/pages/flow/copy_configuration_page.dart;lib/features/trade_copy/presentation/pages/flow/copy_confirmation_page.dart;lib/features/trade_copy/presentation/pages/flow/pre_copy_assessment_page.dart;lib/features/trade_copy/presentation/pages/hub/copy_settings_page.dart;lib/features/trade_copy/presentation/pages/hub/copy_notifications_page.dart;lib/features/trade_copy/presentation/pages/provider/provider_application_page.dart,done
9,RD-V2-TC03,trade_copy,Performance analytics,5,SC-074;SC-075;SC-078;SC-076;SC-081,lib/features/trade_copy/presentation/pages/analytics/copy_performance_page.dart;lib/features/trade_copy/presentation/pages/analytics/performance_attribution_page.dart;lib/features/trade_copy/presentation/pages/analytics/portfolio_risk_analysis_page.dart;lib/features/trade_copy/presentation/pages/provider/provider_comparison_page.dart;lib/features/trade_copy/presentation/pages/provider/provider_governance_page.dart,done
