order,batch_id,module_id,module,hub_sc,accent,batch_title,sc_count,sc_ids,page_files,special_prompt,module_prompt,tier,status
1,RD-M02-B01,RD-M02,auth,sc001Login,"Trust, security, clarity",auth — all,6,sc001Login;sc002Register;sc003Otp;sc004TwoFaSetup;sc005ForgotPassword;sc006ResetPassword,lib/features/auth/presentation/pages/login_page.dart;lib/features/auth/presentation/pages/register_page.dart;lib/features/auth/presentation/pages/otp_page.dart;lib/features/auth/presentation/pages/two_fa_setup_page.dart;lib/features/auth/presentation/pages/forgot_password_page.dart;lib/features/auth/presentation/pages/reset_password_page.dart,prompt-redesign/auth-hub.md,prompt-redesign/auth-hub.md,A_hub,done
2,RD-M03-B01,RD-M03,onboarding,sc397Onboarding,Guided first-run,onboarding — all,1,sc397Onboarding,lib/features/onboarding/presentation/pages/onboarding_flow.dart,,,B_simple,done
3,RD-K01,RD-M04,markets,sc008MarketList,"Scan, compare, data",Hub & overview,5,sc008MarketList;sc009MarketOverview;sc010MarketMovers;sc011MarketSectors;sc012Watchlist,lib/features/markets/presentation/pages/market_list_page.dart;lib/features/markets/presentation/pages/market_overview_page.dart;lib/features/markets/presentation/pages/market_movers_page.dart;lib/features/markets/presentation/pages/market_sectors_page.dart;lib/features/markets/presentation/pages/watchlist_page.dart,prompt-redesign/markets-hub.md,prompt-redesign/markets-hub.md,A_hub,done
4,RD-K02,RD-M04,markets,sc008MarketList,"Scan, compare, data",Discovery tools,6,sc013MarketHeatmap;sc014PriceAlerts;sc015MarketScreener;sc016ComparisonTool;sc017MarketCalendar;sc018DerivativesOverview,lib/features/markets/presentation/pages/market_heatmap_page.dart;lib/features/markets/presentation/pages/price_alerts_page.dart;lib/features/markets/presentation/pages/market_screener_page.dart;lib/features/markets/presentation/pages/comparison_tool_page.dart;lib/features/markets/presentation/pages/market_calendar_page.dart;lib/features/markets/presentation/pages/derivatives_overview_page.dart,,prompt-redesign/markets-hub.md,B_child,done
5,RD-K03,RD-M04,markets,sc008MarketList,"Scan, compare, data",Depth & sentiment,8,sc019MarketDepth;sc020SocialSentiment;sc021PortfolioTracker;sc022MarketNews;sc023AdvancedCharts;sc024TokenUnlocks;sc025SocialSignals;sc026MarketCorrelations,lib/features/markets/presentation/pages/market_depth_page.dart;lib/features/markets/presentation/pages/social_sentiment_page.dart;lib/features/markets/presentation/pages/portfolio_tracker_page.dart;lib/features/markets/presentation/pages/market_news_page.dart;lib/features/markets/presentation/pages/advanced_charts_page.dart;lib/features/markets/presentation/pages/token_unlocks_page.dart;lib/features/markets/presentation/pages/social_signals_page.dart;lib/features/markets/presentation/pages/market_correlations_page.dart,,prompt-redesign/markets-hub.md,B_child,done
6,RD-K04,RD-M04,markets,sc008MarketList,"Scan, compare, data",Pair detail,3,sc044PairDetail;sc045TokenInfo;sc046PairDepth,lib/features/markets/presentation/pages/pair_detail_page.dart;lib/features/markets/presentation/pages/token_info_page.dart;lib/features/markets/presentation/pages/market_depth_page.dart,,prompt-redesign/markets-hub.md,B_child,done
7,RD-T01,RD-M05,trade,sc048Trade,"Action, precision, risk",Hub giao dịch cốt lõi,9,sc048Trade;sc049TradePair;sc052TradeSettings;sc053PositionDashboard;sc054TradeHistoryExport;sc055AdvancedChart;sc056Convert;sc057Futures;sc058Leverage,lib/features/trade/presentation/pages/trade_page.dart;lib/features/trade/presentation/pages/trade_page.dart;lib/features/trade/presentation/pages/trade_settings_page.dart;lib/features/trade/presentation/pages/position_dashboard_page.dart;lib/features/trade/presentation/pages/trade_history_export_page.dart;lib/features/trade/presentation/pages/advanced_chart_page.dart;lib/features/trade/presentation/pages/convert_page.dart;lib/features/trade/presentation/pages/futures_page.dart;lib/features/trade/presentation/pages/leverage_page.dart,prompt-redesign/trade-core-hub.md,prompt-redesign/trade-core-hub.md,A_hub,done
8,RD-T02,RD-M05,trade,sc048Trade,"Action, precision, risk",Hub Trading Bots SC-059,1,sc059TradingBots,lib/features/trade/presentation/pages/trading_bots_page.dart,prompt-redesign/trading-bots-hub.md,prompt-redesign/trading-bots-hub.md,A_hub,done
9,RD-T03,RD-M05,trade,sc048Trade,"Action, precision, risk",Bot vận hành & analytics,14,sc117BotTermsOfService;sc118BotRiskDisclosure;sc119BotSuitabilityAssessment;sc120BotRiskDashboard;sc121BotEmergencyStop;sc122BotSecuritySettings;sc123BotHistory;sc124BotPerformanceAnalytics;sc125BotBacktesting;sc126BotStrategyCompare;sc127BotOptimization;sc128BotPortfolioDashboard;sc129BotDrawdownAnalyzer;sc130BotEquityCurve,lib/features/trade/presentation/pages/bot_terms_of_service_page.dart;lib/features/trade/presentation/pages/bot_risk_disclosure_page.dart;lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart;lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart;lib/features/trade/presentation/pages/bot_emergency_stop_page.dart;lib/features/trade/presentation/pages/bot_security_settings_page.dart;lib/features/trade/presentation/pages/bot_history_page.dart;lib/features/trade/presentation/pages/bot_performance_analytics_page.dart;lib/features/trade/presentation/pages/bot_backtesting_page.dart;lib/features/trade/presentation/pages/bot_strategy_compare_page.dart;lib/features/trade/presentation/pages/bot_optimization_page.dart;lib/features/trade/presentation/pages/bot_portfolio_dashboard_page.dart;lib/features/trade/presentation/pages/bot_drawdown_analyzer_page.dart;lib/features/trade/presentation/pages/bot_equity_curve_page.dart,,prompt-redesign/trading-bots-hub.md,B_child,done
10,RD-T04,RD-M05,trade,sc048Trade,"Action, precision, risk",Bot guide & tax,4,sc131BotGuide;sc132BotFaq;sc133BotTaxReporting;sc134BotApiDocumentation,lib/features/trade/presentation/pages/bot_guide_page.dart;lib/features/trade/presentation/pages/bot_faq_page.dart;lib/features/trade/presentation/pages/bot_tax_reporting_page.dart;lib/features/trade/presentation/pages/bot_api_documentation_page.dart,,prompt-redesign/trading-bots-hub.md,B_child,done
11,RD-T05,RD-M05,trade,sc048Trade,"Action, precision, risk",Copy trading hub,8,sc063CopyTrading;sc064CopyTradingV2;sc065CopyEducation;sc066ActiveCopies;sc067CopySettings;sc068CopyNotifications;sc079ProviderLeaderboard;sc083CopySafetyCenter,lib/features/trade/presentation/pages/copy_trading_page.dart;lib/features/trade/presentation/pages/copy_trading_v2_page.dart;lib/features/trade/presentation/pages/copy_education_page.dart;lib/features/trade/presentation/pages/active_copies_page.dart;lib/features/trade/presentation/pages/copy_settings_page.dart;lib/features/trade/presentation/pages/copy_notifications_page.dart;lib/features/trade/presentation/pages/provider_leaderboard_page.dart;lib/features/trade/presentation/pages/copy_safety_center_page.dart,prompt-redesign/copy-trading-hub.md,prompt-redesign/copy-trading-hub.md,A_hub,done
