"id","area","file","status","evidence","notes"
"HEB-001","Matrix source","lib/features/home/presentation/widgets/home_header.dart","PASS","line 25","Header Search source is present."
"HEB-002","Matrix source","lib/features/home/presentation/widgets/home_header.dart","PASS","line 31","Header Notifications source is present."
"HEB-003","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 191","Next-action withdraw source is present."
"HEB-004","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 199","Recent BTC/USDT source is present."
"HEB-005","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 208","Recent P2P source is present."
"HEB-006","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 226","Recent Copy Trade source is present."
"HEB-030","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 217","Recent Staking source is present."
"HEB-007","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 65","Quick action Mua nhanh source is present."
"HEB-008","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 72","Quick action Convert source is present."
"HEB-009","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 150","Quick action Margin source is present."
"HEB-010","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 158","Quick action Bot source is present."
"HEB-011","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 166","Quick action Copy Trade source is present."
"HEB-012","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 94","Quick action DCA source is present."
"HEB-013","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 80","Quick action Wallet source is present."
"HEB-014","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 86","Quick action P2P source is present."
"HEB-015","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 100","Quick action Staking source is present."
"HEB-016","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 108","Quick action Savings source is present."
"HEB-017","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 114","Quick action Launchpad source is present."
"HEB-018","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 123","Quick action Predictions source is present."
"HEB-019","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 129","Quick action Arena source is present."
"HEB-020","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 137","Quick action Rewards source is present."
"HEB-021","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 144","Quick action Support source is present."
"HEB-022","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 174","Quick action Topics source is present."
"HEB-023","Matrix source","lib/features/home/data/home_mock_data.dart","PASS","line 181","Quick action Referral source is present."
"HEB-024","Matrix source","lib/features/home/presentation/pages/home_page_sections.dart","PASS","line 31","Discovery Prediction Markets source is present."
"HEB-025","Matrix source","lib/features/home/presentation/pages/home_page_sections.dart","PASS","line 49","Discovery Open Arena source is present."
"HEB-026","Matrix source","lib/features/home/presentation/pages/home_page_sections.dart","PASS","line 87","Markets root source is present; system back uses Home history."
"HEB-027","Matrix source","lib/features/home/presentation/pages/home_page_sections.dart","PASS","line 64","Market section pair source is present."
"HEB-C01","Home outbound","lib/features/home/presentation/pages/home_page_state.dart","PASS","line 18","Home feature/product entries preserve route history."
"HEB-C02A","Trade pair entry","lib/features/trade/presentation/widgets/hub/trade_page_state.dart","PASS","line 122","Home opens /trade/:pair with Home history; direct entry falls back to Trade."
"HEB-C02B","Convert entry","lib/features/trade/presentation/pages/convert/convert_page.dart","PASS","line 144","Convert pops to Home when Home-pushed and falls back to Trade directly."
"HEB-C02C","Margin entry","lib/features/trade/presentation/pages/margin/margin_trading_page.dart","PASS","line 83","Margin keeps Trade as direct parent fallback."
"HEB-C02D","Bot entry","lib/features/trade_bots/presentation/pages/hub/trading_bots_page.dart","PASS","line 71","Bot keeps Trade as direct parent fallback."
"HEB-C02E","Copy Trade entry","lib/features/trade_copy/presentation/pages/hub/copy_trading_page.dart","PASS","line 62","Copy Trade keeps Trade as direct parent fallback."
"HEB-C02F","DCA entry","lib/features/dca/presentation/pages/hub/dca_page_state_overview.dart","PASS","line 205","DCA is reached from Home but its safe direct parent remains Trade."
"HEB-C02G","Savings entry","lib/features/earn/presentation/pages/savings/savings_page.dart","PASS","line 120","Savings pops to Home when Home-pushed and falls back to Earn directly."
"HEB-C02H","Prediction Markets entry","lib/features/predictions/presentation/pages/hub/predictions_home_page.dart","PASS","line 125","Prediction Markets falls back to Markets when opened directly."
"HEB-C02I","Wallet entry","lib/features/wallet/presentation/pages/hub/wallet_page.dart","PASS","line 76","Wallet shows a back button only when Home/source history exists."
"HEB-C02J","Withdraw next action","lib/features/wallet/presentation/pages/transfer/withdraw_page.dart","PASS","line 131","Home next-action withdraw returns Home; direct withdraw falls back to Wallet."
"HEB-C02K","Pair detail entry","lib/features/markets/presentation/pages/pair/pair_detail_page.dart","PASS","line 122","Home market rows return Home; direct pair detail falls back to Markets."
"HEB-C02L","Instrument chrome","lib/shared/layout/vit_top_chrome.dart","PASS","line 118","Instrument headers can show both back and an instrument leading slot."
"HEB-C03","Home source coverage","lib/features/home/presentation/pages/home_page_common.dart","PASS","line 1","Part 03 currently has no Home outgoing route; update matrix if this changes."
