product_area,technical_module,capability,flow,sc,route_name,path,widget,file,router_group
Identity and Access,auth,Identity and Onboarding,Account access,SC-001,sc001Login,/auth/login,LoginPage,flutter_app/lib/features/auth/presentation/pages/login_page.dart,auth_routes.dart
Identity and Access,auth,Identity and Onboarding,Account access,SC-002,sc002Register,/auth/register,RegisterPage,flutter_app/lib/features/auth/presentation/pages/register_page.dart,auth_routes.dart
Identity and Access,auth,Identity and Onboarding,Authentication challenge and 2FA setup,SC-003,sc003Otp,/auth/otp,OTPPage,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,auth_routes.dart
Identity and Access,auth,Identity and Onboarding,Authentication challenge and 2FA setup,SC-004,sc004TwoFaSetup,/auth/2fa-setup,TwoFASetupPage,flutter_app/lib/features/auth/presentation/pages/two_fa_setup_page.dart,auth_routes.dart
Identity and Access,auth,Identity and Onboarding,Password recovery,SC-005,sc005ForgotPassword,/auth/forgot-password,ForgotPasswordPage,flutter_app/lib/features/auth/presentation/pages/forgot_password_page.dart,auth_routes.dart
Identity and Access,auth,Identity and Onboarding,Password recovery,SC-006,sc006ResetPassword,/auth/reset-password,ResetPasswordPage,flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart,auth_routes.dart
Home and Discovery,home,"Home, Discovery and Notifications",Home dashboard,SC-007,sc007Home,/home,HomePage,flutter_app/lib/features/home/presentation/pages/home_page.dart,home_routes.dart
Market Intelligence,markets,Market Intelligence,Market discovery and watchlists,SC-008,sc008MarketList,/markets,MarketListPage,flutter_app/lib/features/markets/presentation/pages/market_list_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market discovery and watchlists,SC-009,sc009MarketOverview,/markets/overview,MarketOverviewPage,flutter_app/lib/features/markets/presentation/pages/market_overview_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market discovery and watchlists,SC-010,sc010MarketMovers,/markets/movers,MarketMoversPage,flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market discovery and watchlists,SC-011,sc011MarketSectors,/markets/sectors,MarketSectorsPage,flutter_app/lib/features/markets/presentation/pages/market_sectors_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market discovery and watchlists,SC-012,sc012Watchlist,/markets/watchlist,WatchlistPage,flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market research tools,SC-013,sc013MarketHeatmap,/markets/heatmap,MarketHeatmapPage,flutter_app/lib/features/markets/presentation/pages/market_heatmap_page.dart,markets_routes.dart
