target_order,target_layer,recommended_surface,product_hub_group,product_area,technical_modules,capability,flow,screen_count,lifecycle_stage,hub_priority,entry_route_examples,route_name_examples,notes
001,Trust Foundation and Account Readiness,Auth shell / Profile tab,Account readiness,Identity and Access,onboarding,Identity and Onboarding,First-run onboarding,1,Trust gate / eligibility,"Account readiness: verify, secure, unlock limits, then trade.",/onboarding,sc397Onboarding,"Keep flow calm, dark, scan-friendly, and state-driven."
002,Trust Foundation and Account Readiness,Auth shell / Profile tab,Account readiness,Identity and Access,auth,Identity and Onboarding,Account access,2,Trust gate / eligibility,"Account readiness: verify, secure, unlock limits, then trade.",/auth/login | /auth/register,sc001Login | sc002Register,"Keep flow calm, dark, scan-friendly, and state-driven."
003,Trust Foundation and Account Readiness,Auth shell / Profile tab,Account readiness,Identity and Access,auth,Identity and Onboarding,Authentication challenge and 2FA setup,2,Trust gate / eligibility,"Account readiness: verify, secure, unlock limits, then trade.",/auth/otp | /auth/2fa-setup,sc003Otp | sc004TwoFaSetup,"Keep flow calm, dark, scan-friendly, and state-driven."
004,Trust Foundation and Account Readiness,Auth shell / Profile tab,Account readiness,Identity and Access,auth,Identity and Onboarding,Password recovery,2,Trust gate / eligibility,"Account readiness: verify, secure, unlock limits, then trade.",/auth/forgot-password | /auth/reset-password,sc005ForgotPassword | sc006ResetPassword,"Keep flow calm, dark, scan-friendly, and state-driven."
005,Trust Foundation and Account Readiness,Profile tab,Account readiness,Profile and Account,profile,Profile and Account Management,"Profile, settings and activity",4,Operate / extend,"Account readiness: verify, secure, unlock limits, then trade.",/profile | /profile/edit | /profile/security | /profile/vip,sc156Profile | sc157EditProfile | sc158Security | sc164Vip,"Keep flow calm, dark, scan-friendly, and state-driven."
006,Trust Foundation and Account Readiness,Profile tab,Account readiness,Profile and Account,profile,Profile and Account Management,"Identity, security and devices",5,Trust gate / eligibility,"Account readiness: verify, secure, unlock limits, then trade.",/profile/kyc | /profile/settings | /profile/api/create | /settings/security/biometric,sc159Kyc | sc160Settings | sc162ApiKeyCreate | sc405SettingsSecurityBiometric,"Keep flow calm, dark, scan-friendly, and state-driven."
007,Trust Foundation and Account Readiness,Profile tab,Account readiness,Profile and Account,profile,Profile and Account Management,"API, subaccounts and VIP",4,Operate / extend,"Account readiness: verify, secure, unlock limits, then trade.",/profile/activity | /profile/api | /profile/devices | /profile/sub-accounts,sc161ActivityLog | sc163ApiManagement | sc165DeviceManagement | sc166SubAccount,"Keep flow calm, dark, scan-friendly, and state-driven."
008,Trust Foundation and Account Readiness,Profile tab,Account readiness,Profile and Account,"arena, predictions, profile",Profile and Account Management,Profile module summaries,3,Operate / extend,"Account readiness: verify, secure, unlock limits, then trade.",/profile/predictions | /profile/arena | /settings/security,sc167ProfilePredictions | sc168MyArena | sc413SettingsSecurity,"Keep flow calm, dark, scan-friendly, and state-driven."
009,Home Command Center and Discovery,Home tab,Command center,Home and Discovery,home,"Home, Discovery and Notifications",Home dashboard,1,Discover / orient,"Command center: balances, alerts, search, recents, recommended next action.",/home,sc007Home,"Keep flow calm, dark, scan-friendly, and state-driven."
010,Home Command Center and Discovery,Home tab,Command center,Home and Discovery,discovery,"Home, Discovery and Notifications",Unified search,1,Discover / orient,"Command center: balances, alerts, search, recents, recommended next action.",/search,sc283UnifiedSearch,"Keep flow calm, dark, scan-friendly, and state-driven."
