file,line,owner,sourceWidget,classification,mode,fallback,highRisk,issue,notes
"flutter_app/lib/app/router/internal_surface_gate.dart","92","_InternalSurfaceRestrictedPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.home","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart","56","_ABTestDashboardState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart","44","AdminSettingsPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart","62","_AnalyticsDashboardState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart","68","_FunnelDashboardState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart","77","_ArenaBlockedUsersPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaSafety","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart","115","_ArenaChallengeDetailPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart","81","_ArenaCreatorPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart","97","_ArenaFlowMapPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart","122","_ArenaGovernanceGatePageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaStudio","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_guide_page.dart","89","_ArenaGuidePageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart","35","_ArenaHomePageState","VitTopChrome","history_then_fallback","history_then_fallback","AppRoutePaths.home","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart","87","_ArenaJoinPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaChallenge(widget.challengeId)","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart","106","_ArenaLeaderboardPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart","74","_ArenaModeDetailPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart","79","_ArenaPointsEntryDetailPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaLedger","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart","75","_ArenaPointsLedgerPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart","39","_ArenaPointsPageState","VitTopChrome","history_then_fallback","history_then_fallback","widget.backRoute","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart","28","_ArenaPredictionBridgeFoundationPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart","27","_ArenaProductionReadyPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart","105","_ArenaReportCasePageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart","52","ArenaResolutionCenterPage","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart","74","ArenaSafetyCenterPage","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart","165","_ArenaSmartRuleBuilderPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaStudio","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart","80","_ArenaStudioPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart","61","ArenaTrustBreakdownPage","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart","81","_ArenaUniversalPresetLibraryPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaStudio","no","-","History pop is paired with an explicit fallback route."
