task_id,dimension,phase,type,priority,effort,order,depends_on,decision_gate,same_as,owner,files,action,verify,status,md_anchor
"GD4-S1","01-guardrail-ratchet","GD4","cai-thien","P1","S","10","","","","ai","flutter_app/test/quality/architecture_size_style_debt_guardrails_test.dart","DA XONG 2026-07-18. Go test part-file <=218 (bi test _part_NN isEmpty vuot mat - trung lap, thay bang ghi chu); siet over600 239->40 (thuc 35), >1200 4->2 (thuc 2). KE HOACH GOC: siet 3 ratchet chung ve sat so do thuc.","cd flutter_app && flutter test test/quality/architecture_size_style_debt_guardrails_test.dart","done","KH-GD4 Cum S viec 1"
"GD4-S2","01-guardrail-ratchet","GD4","cai-thien","P1","S","20","","","","ai","flutter_app/test/quality/architecture_import_debt_guardrails_test.dart","DA XONG 2026-07-18. SUA PHEP DO thay vi sua code: 59/60 entry cu la duong-tinh-gia (import cung-feature provider->repository lot regex sau lint always_use_package_imports). Viet lai scan so sanh sourceFeature vs targetFeature, nguong 60->1; entry con lai duy nhat = mock_trade_repository -> trade_terminal (delegation co chu dich ADR-002). KE HOACH GOC: regex loai same-feature + nguong ve 1.","cd flutter_app && flutter test test/quality/architecture_import_debt_guardrails_test.dart (6/6, dem dung 1)","done","KH-GD4 Cum S viec 2"
"GD4-S3","01-guardrail-ratchet","GD4","cai-thien","P2","S","30","","","","ai","flutter_app/test/quality/duplicate_private_widget_guardrail_test.dart","DA XONG 2026-07-18. Noi tool duplicate_private_widget_audit vao test/quality theo khuon Process.runSync + _dartExecutable() (copy tu back_navigation_behavior_guardrail_test). KE HOACH GOC: y het.","cd flutter_app && flutter test test/quality/duplicate_private_widget_guardrail_test.dart","done","KH-GD4 Cum S viec 3"
"GD4-S4","05-tai-lieu","GD4","cai-thien","P2","S","40","","","","ai","AGENTS.md","DA XONG 2026-07-18. Sua drift: 23->28 feature module, lam ro 27 file controller_providers (trade_core co chu dich khong co; 2 file ten khac khuon: dev_tools_controller_providers, market_controller_providers); '~443 chuoi' -> tro ve baseline file lam nguon su that (khong ghi so cung nua vi baseline se doi theo i18n). KE HOACH GOC: 23->28 + ~443->439.","grep AGENTS.md thay 28 va khong con so chuoi cung","done","KH-GD4 Cum S viec 4"
"GD4-S5","05-tai-lieu","GD4","cai-thien","P1","S","50","","","","ai","docs/05_ARCHITECTURE/decisions/ADR-006-composition-root-coupling.md;docs/05_ARCHITECTURE/decisions/README.md","DA XONG 2026-07-18. ADR-006 van ban hoa quyet dinh composition root tap trung (app/providers 27 file): trade-off coupling app<->features chap nhan co thoi han, dieu kien mo lai = DEC-backend xong + team >=6 -> ADR moi cho melos/pub-workspace. KE HOACH GOC: y het.","file ton tai + catalog README co dong ADR-006","done","KH-GD4 Cum S viec 5"
"GD4-S6","05-tai-lieu","GD4","cai-thien","P1","S","60","","","","ai","docs/05_ARCHITECTURE/decisions/ADR-007-chien-luoc-hieu-nang.md;docs/05_ARCHITECTURE/decisions/README.md","DA XONG 2026-07-18. ADR-007 van ban hoa chien luoc hieu nang da thi hanh GD2/GD3: bounded-build cap 8 thay virtualization (HN-3), painter hoist + RepaintBoundary (HN-5), rebuild control select/harness, do bang proxy cau truc + dieu kien nang cap do that. KE HOACH GOC: y het.","file ton tai + catalog README co dong ADR-007","done","KH-GD4 Cum S viec 6"
"GD4-S7","06-i18n","GD4","cai-thien","P0","M","70","","","","ai","flutter_app/lib/features/{wallet,trade_terminal,trade_copy,p2p,predictions,trade,trade_bots}/presentation/controllers (10 file);flutter_app/test (7 file pin);flutter_app/test/quality/i18n_vi_only_baseline.txt","DA XONG 2026-07-18. Dich 48/48 chuoi validationMessage tieng Anh tren panel high-risk sang tieng Viet co dau (wallet 10, trade_terminal 13, trade_copy 7, p2p 6, predictions 6, trade 4, trade_bots 2); 13 assertion pin doi theo (7 file test, nhieu hon 2 cho grep ban dau chi ra); regen baseline I18N_BASELINE_WRITE=1: 439->391. GHI CHU: cac sub-line Spender:/Token:/Allowance: trong body revoke-preview wallet KHONG nam trong baseline (0-1 marker word) - de lai lam follow-up nho. KE HOACH GOC: y het.","cd flutter_app && flutter test test/quality/i18n_vi_only_guardrail_test.dart + 7 suite feature (1161/1161)","done","KH-GD4 Cum S viec 7"
"GD4-S8","07-ci-tooling","GD4","cai-thien","P1","S","80","","","","ai",".github/workflows/flutter-ci.yml","DA XONG 2026-07-18. Them job golden-windows (runs-on windows-latest, flutter test 5 thu muc golden - lan dau golden chay so sanh pixel that tren CI; tren ubuntu van skip theo Platform.isWindows); gate needs them golden-windows + echo result; giu nguyen ten gate 'Enterprise Flutter Gates'. KHONG regen PNG (font Be Vietnam Pro bundled, khac biet chi la AA renderer). KE HOACH GOC: y het.","PR #16 CI: job golden-windows xanh + gate xanh","done","KH-GD4 Cum S viec 8"
"GD4-F1","02-runtime-ops","GD4","cai-thien","P0","L","90","GD4-S1","","","ai","flutter_app/lib/core/storage;flutter_app/lib/main.dart;flutter_app/lib/app/providers;flutter_app/lib/core/observability;flutter_app/lib/core/config;router gate pages;docs/05_ARCHITECTURE/decisions/ADR-008","DA XONG 2026-07-18. Thi hanh dung ke hoach + 3 ghi chu drift: (1) mac-dinh-trong-container cua errorReporterProvider GIU Noop de 3.4k test hermetic/im lang; LocalLogErrorReporter la mac dinh RUNTIME qua bootstrap main.dart override cung MOT instance cho ca 3 duong loi (guardrail runtime_seams pin dieu nay - do la cach 'thay Noop lam mac dinh' an toan test). (2) Riverpod 3 giau type Override khoi export chinh - phai import flutter_riverpod/misc.dart (vit_trade_app). (3) app_router.dart them 1 dong import app_environment (part-file khong tu import duoc). Chi tiet: KeyValueStore+SecureStore seam + registry khoa tap trung; AuthSessionController restore/login/logout + token demo vao ApiClient; persist watchlist/onboarding-seen/settings; AnalyticsReporter seam; AppConfig 3 truong runtime + RuntimeConfigSource; 2 trang gate SC-417 /maintenance + SC-418 /force-update + redirect toan cuc; ADR-008; guardrail runtime_seams. BAI HOC CI: checkout windows-latest chet MAX_PATH 260 (ten repo dai) - fix core.longpaths truoc checkout (commit ccf7559 tren nhanh S, da merge lan len). KE HOACH GOC: Nen mong runtime: KeyValueStore (shared_preferences) + SecureStore (flutter_secure_storage) + InMemory test impl; authSessionControllerProvider giu AuthSession + noi AuthTokenProvider; persist watchlist/onboarding-seen/settings; LocalLogErrorReporter thay Noop + HOP NHAT 2 duong report; seam AnalyticsReporter; AppConfig maintenanceMode/minSupportedBuild + RuntimeConfigSource + gate pages + redirect; ADR-008; guardrail runtime_seams.","battery day du + guardrail moi + full suite; PR #17","done","KH-GD4 Cum F1"
"GD4-F2","03-async-contract","GD4","cai-thien","P0","L","100","GD4-F1","","","ai","flutter_app/lib/features/wallet;flutter_app/lib/features/notifications;docs/02_FLUTTER_MIGRATION/a-plus-roadmap/GD4-Async-Playbook.md;flutter_app/test/quality/async_contract_guardrail_test.dart","DA XONG 2026-07-18. Pilot wallet 19 + notifications 1 method -> Future<T>; playbook 11 muc bay; guardrail async_contract baseline 390 (chi giam). 3 BAI HOC SAU PILOT (phat hien khi full suite, focused test khong thay): (1) Future.delayed(Duration.zero) van la timer - mock phai guard delay>0 (tester.pump() khong day fake clock); (2) mock cua provider bi SHELL watch (notifications badge) mac dinh PHAI Duration.zero - 300ms de lai pending timer giet 656 test toan suite; (3) golden loading can 2 pump de badge async render on dinh. KEM: fix dio 5.10 default-case errorMappingInterceptor (PR #21 dependabot tung vo bien dich vi enum moi transformTimeout). KE HOACH GOC: Pilot async wallet (19 method) + notifications (1): contract -> Future<T>, mock loadDelay/simulateError, read-provider -> AsyncNotifier/FutureProvider theo ADR-001, page .when(VitSkeleton/VitErrorState), data-smoke await; viet PLAYBOOK cho fan-out; guardrail ratchet async_contract (baseline ~389, chi giam).","battery + full suite; PR #18","done","KH-GD4 Cum F2"
