task_id,dimension,phase,type,priority,effort,order,depends_on,decision_gate,same_as,owner,files,action,verify,status,md_anchor
"TEST-HR1","10-kiem-thu","GD0","cai-thien","P0","M","10","","","","ai","flutter_app/lib/features/trade/presentation/widgets/futures/futures_page_state.dart;flutter_app/lib/features/trade_bots/presentation/pages/hub/trading_bots_page.dart;flutter_app/lib/features/trade_bots/presentation/widgets/hub/trading_bots_page_create_bot_sheet.dart;flutter_app/lib/features/trade_copy/presentation/pages/hub/copy_trading_page.dart;flutter_app/test/quality/high_risk_state_primitives_guardrail_test.dart","DA XONG 2026-07-16. GHI CHU DRIFT: duong dan that khac ban ghi ban dau (file da doi ten qua Dot 14 sau khi bao cao goc viet) - da xac minh lai qua grep truoc khi sua, dung tinh than SS16. margin/futures thuoc module 'trade' (futures_page_state.dart, KHONG phai trade_terminal) vi contract tradeMarginFutures co module='trade'. 3 sua: (1) copy_trading_page.dart doi contractId ad-hoc 'Co X nha cung cap' -> snapshot.highRiskContractId; (2) futures_page_state.dart bo const, doi 'SC-057' -> snapshot.highRiskContractId; (3) trading_bots_page.dart: them VitHighRiskStatePanel(contractId: snapshot.highRiskContractId) thay cho _RiskDisclaimer() cu (xoa class _RiskDisclaimer khong con dung trong file sibling part).","cd flutter_app && flutter test test/quality/high_risk_state_primitives_guardrail_test.dart && flutter analyze && flutter test test/features/trade test/features/trade_bots test/features/trade_copy --reporter=compact","done","§10 › HR-1"
"CI-D1","07-ci-tooling","GD0","cai-thien","P1","S","20","","","","ai","flutter_app/analysis_options.yaml;flutter_app/test/quality/architecture_baseline_guardrails_test.dart;52 file sua import (script);10 file sua prefer_final_locals","DA XONG 2026-07-16 - SCOPE THU HEP so voi dinh ban dau. Them strict-casts/strict-inference/strict-raw-types (0 issue - da xac minh) + cancel_subscriptions/close_sinks (0 issue) + always_use_package_imports (93 issue, sua bang script tu dong doi relative->package) + prefer_final_locals (10 issue, sua tay). unawaited_futures + discarded_futures CO CHU DICH CHUA BAT: phat sinh 723 vi pham (669+54) can judgment tung cho (await vs unawaited()), khong phai fix co hoc - doi den ERR-35 (dung idiom async) roi bat cung. SIDE-EFFECT phat hien: sua import lam architecture_baseline_guardrails_test.dart 'non-controller data imports' tang 36->48 (thuan tuy do 12 import cung-feature doi cach viet, KHONG phai coupling moi - da xac minh qua git diff + rebaseline co comment).","cd flutter_app && flutter analyze (0 issue) && flutter test test/quality/architecture_baseline_guardrails_test.dart (10/10)","done","§7 › D1"
"ARCH-A6","01-kien-truc","GD0","cai-thien","P2","S","30","","","","human+ai","flutter_app/test/quality/architecture_baseline_guardrails_test.dart","DA XONG 2026-07-17. GHI CHU DRIFT: gate goc ghi 'cho commit dot tach Phase 5 (104 file)' nhung Phase 5 da hoan tat trong code tu 2026-07-15 (trade co domain/data rieng), chi chua commit (nam lan trong 848 file dirty toan phien, khong con tach rieng duoc mot 'lat cat 104 file' sach nua). User xac nhan coi thiet ke tach module Trade la chot cuoi, lam ngay khong cho commit vi test doc filesystem, khong doc git state. Con so '39' trong ghi chu goc da loi thoi rieng - do la threshold cua metric 'non-controller data imports' da troi 39->60 qua 4 viec khac khong lien quan (Phase 6/7, CI-D1, ERR-33 lo 1+2) tu truoc khi ARCH-A6 duoc lam. Da lay so song ca 10 assertion trong file bang ky thuat tam set lessThanOrEqualTo(-1) roi flutter test de doc Actual, sau do khoi phuc dung 10 gia tri goc (khong dung git checkout vi file da co nhieu sua doi chua commit tu truoc do, checkout se xoa mat): 60/0/218/216/189/0/0/239/4/281 - TAT CA deu khop hoac thap hon ceiling hien tai, khong co drift doc lap can xu ly. Phat hien phu (khong sua, ngoai pham vi ARCH-A6): 2 ratchet trong file nay (pagePartFiles <=218, over600 <=239) co so song thuc te rat thap so voi ceiling (0 va 32) do cac dot tai cau truc hub da doi ten toan bo file _part_*.dart sang ten mo ta - co the siet lai trong mot task rieng sau, khong lam trong ARCH-A6 de giu dung pham vi. Sua that: dong 10-16 (comment lich su) + dong 17 'const presentationOnlyModules = {'trade'};' -> '<String>{}' (luu y: {} tran la Map trong Dart, bat buoc <String>{} de .contains() o dong 27 compile duoc - da xac nhan bang regression-check: {} tran that su fail bien dich voi loi 'contains isnt defined for Map', <String>{} thi qua). Xac nhan lib/features/trade/{domain,data,presentation} da ton tai san nen test dau qua ngay khong can sua gi khac. presentationOnlyModules khong duoc dung o dau khac trong repo.","cd flutter_app && flutter test test/quality/architecture_baseline_guardrails_test.dart (xanh ca 11 test) && flutter analyze","done","§1 › A6"
"ARCH-A5","01-kien-truc","GD0","toi-uu","P3","S","40","","","","ai","flutter_app/lib/core/navigation/back_navigation.dart;AGENTS.md","DA XONG 2026-07-16 - chon phuong an (a): them doc comment vao dau file back_navigation.dart giai thich BuildContext bat buoc cho goBackOrFallback, va them muc 'Documented exception' vao AGENTS.md > Architecture ngay sau dong 'Keep non-UI cross-cutting boundaries in core/'. Khong co guardrail tu dong nao kiem tra ranh gioi nay (da grep xac nhan) nen khong can sua guardrail. Khong doi API goBackOrFallback.","cd flutter_app && flutter analyze && flutter test test/quality/back_navigation_behavior_guardrail_test.dart","done","§1 › A5"
"DOC-D2","09-tai-lieu","GD0","cai-thien","P1","S","50","","","","human+ai","docs/01_AI_RULES/Two-Phase-Cursor-Workflow.md","DA XONG - phat hien file nay DA duoc git add tu truoc (status 'A' trong working tree, khong phai cua session nay). Khong can hanh dong them, chi xac nhan.","git ls-files --error-unmatch docs/01_AI_RULES/Two-Phase-Cursor-Workflow.md (exit 0) - DA XAC NHAN","done","§9 › D2"
"DOC-D1","09-tai-lieu","GD0","cai-thien","P1","M","51","","","","ai","docs/INDEX.md;flutter_app/test/quality/ops_metadata_guardrails_test.dart","DA XONG 2026-07-16 - dieu tra tung file trong claim '2026-07-10': (1) Card-Tile-Migration-Checklist.md + Execution-Plan.md van con TRACKED va DUOC LINK tu Card-Tile-Standard.md -> KHONG xoa, sua log; (2) VitTrade-Whole-App-P2-P3-Assignment-Ledger.csv zero-reference that su -> da git rm; (3) VitTrade-Screen-Redesign-Checklist.csv+.md ban top-level byte-identical voi redesign/ (canonical, INDEX da tro dung) -> da git rm ban top-level. Claim '4 stale CSV dumps' KHONG xac dinh duoc cu the (30 CSV top-level trong 02_FLUTTER_MIGRATION/, nhieu ban co ban audits/ tuong duong) - ghi ro la CHUA XAC MINH trong INDEX, gap DOC-D3 xu ly tiep. Them 2 test moi vao ops_metadata_guardrails_test.dart: file bi claim xoa phai thuc su khong ton tai; file duoc claim giu lai (Card-Tile pair) phai con ton tai.","cd flutter_app && flutter test test/quality/ops_metadata_guardrails_test.dart (4/4 pass)","done","§9 › D1"
"DOC-D3","09-tai-lieu","GD0","toi-uu","P1","M","52","DOC-D1","","","ai","docs/02_FLUTTER_MIGRATION/*.md;docs/02_FLUTTER_MIGRATION/*.csv;docs/INDEX.md","DA XONG 2026-07-17. GHI CHU DRIFT: manifest goc uoc ~30 CSV top-level - dem thuc te qua script (basename trung ten giua top-level va standards/checklists/audits/redesign/prompt-redesign/) ra 73 cap (khong phai 30): 9 giong het byte, 64 khac noi dung. 3 lo tuan tu: LO 1 (9 cap giong het byte) - grep zero-reference roi git rm thang, khong rui ro. LO 2 (~40 cap trong audits/ do tool sinh, cam hand-edit theo luat playbook 0.8): xac dinh generator that su cho tung file bang cach doc source tool/*.dart (khong doan qua ten) - phat hien 2 sai lech so voi gia dinh ban dau: (a) 'VitTrade-Page-Rhythm-Visual-Debt-Manifest.csv' TUONG la mo coi khong co generator - thuc ra co, do page_rhythm_audit.dart sinh cung luc voi CSV chinh; (b) 'checklists/Page-Rhythm-Migration-Execution-Plan.md' TUONG la tay viet - thuc ra do page_rhythm_manifest.dart tu dong sinh (quet lib/ song, ghi ca CSV lan file nay), phai chuyen tu nhom LO 3 sang LO 2. Truoc khi chay tool o che do ghi, da audit tung script tool/*.dart de loai cac tool MANG TINH MUTATE SOURCE (card_tile_baseline.dart, page_rhythm_apply/dedupe/fix_corruption/fix_imports/orphan_cleanup/semantic_x2/semantic_x34.dart, trade_home_ui_sync.dart deu ghi vao lib/features/** that su - KHONG duoc chay, ngoai pham vi DOC-D3 hoan toan). Chay 19 tool audit that (khong phai mutate) o che do ghi roi --check: 19/19 xanh, ngoai tru visual_density_risk_audit bao loi rieng khong lien quan staleness (dong 141: hardcoded 'entries.length != 414' nhung so song thuc te la 413 - drift co san tu truoc, KHONG sua trong DOC-D3, co the la do 1 route bi doi/xoa o dot tai cau truc khac dang con trong 848 file dirty). LO 3 (23 cap tay viet con lai trong standards/checklists/redesign, giao 3 agent song song lam diff/merge/git rm that su): 22/23 giu nguyen ban canonical (da la ban moi/day du hon, top-level chi con path cu truoc khi doc reorg); 1/23 (Card-Tile-Standard.md) merge that: canonical thieu 2 link 'Migration pointers' (Card-Tile-Migration-Execution-Plan.md, Card-Tile-Migration-Checklist.md) ma top-level co - 2 file do KHONG bi xoa (con o top-level, duoc ops_metadata_guardrails_test.dart gac rieng, giu nguyen theo dung y guardrail), chi bo sung lai 2 link trong canonical. 2 stale cross-link phat hien va sua: docs/INDEX.md:168 va Card-Tile-Migration-Checklist.md:3 (ca hai tro toi Card-Tile-Standard.md ban top-level cu, sua thanh standards/). Xac nhan lai script trung ten sau ca 3 lo: 0 con lai (95 file top-level ban dau -> 22 file that su khong trung, deu la file duy nhat khong co ban canonical nao khac vd Backend-Contract-Skeleton*.md, Flutter-Design-System-Reference.md, 2 file Card-Tile-Migration-* duoc giu co y).","cd flutter_app && flutter test test/quality/ops_metadata_guardrails_test.dart && dart run tool/card_tile_audit.dart --check && dart run tool/card_tile_manifest.dart --check && dart run tool/design_token_consistency_audit.dart --check && dart run tool/back_navigation_behavior_audit.dart --check && dart run tool/home_entry_back_navigation_audit.dart --check && dart run tool/home_reference_consistency_audit.dart --check && dart run tool/navigation_edge_audit.dart --check && dart run tool/page_content_width_audit.dart --check && dart run tool/spacing_token_duplication_audit.dart --check && dart run tool/top_header_action_audit.dart --check && dart run tool/top_header_behavior_audit.dart --check && dart run tool/top_header_global_access_policy_audit.dart --check && dart run tool/top_header_visual_archetype_audit.dart --check && dart run tool/ui_fullscreen_density_audit.dart --check && dart run tool/body_component_consistency_audit.dart --check && dart run tool/segment_pill_audit.dart --check && dart run tool/segment_pill_manifest.dart --check && dart run tool/page_rhythm_audit.dart --check && dart run tool/page_rhythm_screen_rollup.dart --check && dart run tool/page_rhythm_coverage_matrix.dart --check && flutter analyze (visual_density_risk_audit.dart --check fails on an unrelated pre-existing 413/414 route-count drift, not staleness - known, out of scope)","done","§9 › D3"
"CI-D5","07-ci-tooling","GD0","cai-thien","P1","S","60","","DEC-codeowners (decided 2026-07-16: @LonelyTraderBay)","","human+ai",".github/CODEOWNERS;GitHub settings (branch protection)","PHAN AI DA XONG 2026-07-16: thay het @replace-with-real-owner bang @LonelyTraderBay; phat hien + sua 1 drift that (dong tro toi trade_core/domain/repositories/trade_repository.dart da bi xoa tu Phase 5 - thay bang comment giai thich, giu lai trade_module_layout.dart lam bottleneck that). PHAN NGUOI DA XONG 2026-07-17 (user + AI qua Claude in Chrome): user nang goi GitHub Pro ($4/thang) tren dung tai khoan so huu repo LonelyTraderBay (lan dau mua nham tren tai khoan khac - da phat hien qua trang billing va sua); AI cau hinh classic branch protection rule qua Chrome cua user (da xin xac nhan truoc khi Save): pattern 'main', Require a pull request before merging voi Require approvals BO TICK (approvals=0 vi repo solo - GitHub khong cho tu approve PR cua minh, day la bay tu-khoa thu 2 cung ho voi Code Owners), Require status checks voi check 'Enterprise Flutter Gates' (nguon GitHub Actions), KHONG bat Code Owners/force push/delete. Xac minh sau Save: trang Branches hien rule 'main - Currently applies to 1 branch', khong con banner gioi han goi. GHI CHU: ruleset 'main' (id 19087190) user tao truoc do da XOA (duoc user duyet) - no o trang thai Disabled + 0 target va loai ruleset van doi goi Team tren repo private nen khong bao gio co hieu luc; classic rule la co che dung voi Pro. LUU Y VAN HANH: tu gio moi thay doi vao main phai qua PR + CI xanh - khoi 900+ file dang dirty trong working tree can duoc commit/push truoc khi tao PR dau tien, hoac se la PR khong lo.","grep -c '@replace-with-real-owner' .github/CODEOWNERS = 0 (DA XAC NHAN); GitHub Settings > Branches hien rule 'main - Currently applies to 1 branch' voi required check 'Enterprise Flutter Gates' (DA XAC NHAN qua Chrome 2026-07-17)","done","§7 › D5"
"ERR-31","03-loi-phuc-hoi","GD1","cai-thien","P1","M","100","ERR-32","","","ai","flutter_app/lib/main.dart;flutter_app/lib/app/error_fallback_screen.dart (moi);flutter_app/test/app/error_fallback_screen_test.dart (moi)","DA XONG 2026-07-16. runZonedGuarded boc runApp; FlutterError.onError + PlatformDispatcher.instance.onError + ErrorWidget.builder deu route qua _globalErrorReporter (const NoopErrorReporter, KHONG qua Riverpod ref vi main() chay truoc ProviderScope - xem comment trong file). Man fallback tach thanh widget rieng VitErrorFallbackScreen (tai dung VitErrorState co san) de test duoc. GIOI HAN: khong the 'chay app that va bam' trong moi truong CLI headless nay - da thay bang widget test pump VitErrorFallbackScreen + tester.pumpWidget assert dung text tieng Viet; khong test duoc ErrorWidget.builder truc tiep vi TestWidgetsFlutterBinding tu dong assert khong ai duoc doi bien global nay trong 1 test (da thu, bi framework chan).","cd flutter_app && flutter analyze && flutter test test/app/error_fallback_screen_test.dart && grep -c 'runZonedGuarded\\|FlutterError.onError\\|PlatformDispatcher.instance.onError\\|ErrorWidget.builder' lib/main.dart (>=4) && flutter test (full, khong regression)","done","§3 › 3.1"
"ERR-32","03-loi-phuc-hoi","GD1","cai-thien","P2","S","99","","","","ai","flutter_app/lib/core/observability/error_reporter.dart (moi);flutter_app/test/core/observability/error_reporter_test.dart (moi)","DA XONG 2026-07-16 - lam TRUOC ERR-31 (order doi thanh 99 < 100 vi ERR-31 phu thuoc file nay). ErrorReporter interface + NoopErrorReporter + errorReporterProvider (Riverpod) dung nhu ke hoach. LUU Y kien truc: ERR-31's 3 handler global (main.dart, chay TRUOC ProviderScope) dung truc tiep const NoopErrorReporter(), KHONG qua ref.read(errorReporterProvider) vi chua co ProviderContainer luc do - da ghi ro ly do bang comment trong main.dart. Provider ton tai cho code TRONG widget tree dung sau nay.","cd flutter_app && flutter test test/core/observability/error_reporter_test.dart (2/2 pass)","done","§3 › 3.2"
