screen_id,route_path,route_name,page_widget,page_file,layout_pattern,vpc_files,vpc_owner_file,declared_tier,suggested_tier,tier_status,l1_status,l2_status,l3_status,notes
SC-101,'${AppRoutePaths.tradeCopyTargetMarketDefinition}/:productId',AppRouteNames.sc415TargetMarketDefinitionDetail,TargetMarketDefinitionPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/target_market_definition_page.dart,shared_shell,features/trade/presentation/pages/target_market_definition_page.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/target_market_definition_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc138DepositUsdt,'${AppRoutePaths.walletDeposit}/:asset',AppRouteNames.sc138DepositUsdt,DepositPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/wallet/presentation/pages/deposit_page.dart,shared_shell,features/wallet/presentation/pages/deposit_page.dart;features/wallet/presentation/widgets/deposit_page_common.dart;features/wallet/presentation/widgets/deposit_page_sections.dart;features/wallet/presentation/widgets/vit_wallet_detail_scaffold.dart,features/wallet/presentation/pages/deposit_page.dart,form,form,aligned,pass,pass,pass,compliant
AppRouteNames.sc140WithdrawUsdt,'${AppRoutePaths.walletWithdraw}/:asset',AppRouteNames.sc140WithdrawUsdt,WithdrawPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/wallet/presentation/pages/withdraw_page.dart,shared_shell,features/wallet/presentation/pages/withdraw_page.dart;features/wallet/presentation/widgets/vit_wallet_detail_scaffold.dart,features/wallet/presentation/pages/withdraw_page.dart,form,form,aligned,pass,pass,pass,compliant
SC-190,'/arena/challenge/:challengeId',AppRouteNames.sc190ArenaChallengeDetail,ArenaChallengeDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,direct_vpc,features/arena/presentation/pages/arena_challenge_detail_page.dart;features/arena/presentation/pages/arena_challenge_detail_page_part_01.dart;features/arena/presentation/pages/arena_challenge_detail_page_part_02.dart;features/arena/presentation/pages/arena_challenge_detail_page_part_03.dart,features/arena/presentation/pages/arena_challenge_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-193,'/arena/creator/:creatorId',AppRouteNames.sc193ArenaCreator,ArenaCreatorPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,direct_vpc,features/arena/presentation/pages/arena_creator_page.dart;features/arena/presentation/widgets/arena_creator_common.dart;features/arena/presentation/widgets/arena_creator_hero_trust.dart;features/arena/presentation/widgets/arena_creator_tabs.dart,features/arena/presentation/pages/arena_creator_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-191,'/arena/join/:challengeId',AppRouteNames.sc191ArenaJoin,ArenaJoinPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,direct_vpc,features/arena/presentation/pages/arena_join_page.dart;features/arena/presentation/widgets/arena_join_page_common.dart;features/arena/presentation/widgets/arena_join_page_sections.dart,features/arena/presentation/pages/arena_join_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-200,'/arena/ledger/entry/:entryId',AppRouteNames.sc200ArenaPointsEntryDetail,ArenaPointsEntryDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,direct_vpc,features/arena/presentation/pages/arena_points_entry_detail_page.dart;features/arena/presentation/widgets/arena_points_entry_detail_page_common.dart;features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,features/arena/presentation/pages/arena_points_entry_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-189,'/arena/mode/:modeId',AppRouteNames.sc189ArenaModeDetail,ArenaModeDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,direct_vpc,features/arena/presentation/pages/arena_mode_detail_page.dart,features/arena/presentation/pages/arena_mode_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-202,'/arena/report/:caseId',AppRouteNames.sc202ArenaReportCase,ArenaReportCasePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,direct_vpc,features/arena/presentation/pages/arena_report_case_page.dart;features/arena/presentation/widgets/arena_report_case_related_common.dart;features/arena/presentation/widgets/arena_report_case_summary_timeline.dart;features/arena/presentation/widgets/arena_report_case_system_appeal.dart,features/arena/presentation/pages/arena_report_case_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-199,'/arena/trust/:userId',AppRouteNames.sc199ArenaTrustBreakdown,ArenaTrustBreakdownPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,direct_vpc,features/arena/presentation/pages/arena_trust_breakdown_page.dart,features/arena/presentation/pages/arena_trust_breakdown_page.dart,standard,standard,aligned,pass,pass,pass,compliant
